Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6k7vV1OGewIoqEmUg3L7Am,"Everything I Love","One Thing At A Time","Morgan Wallen",2023-03-03,187047,74,false,bennettspeir,2026-07-25T01:13:21Z,"country","Morgan Wallen",0.567,0.841,8,-3.933,1,0.0263,0.00543,0.000922,0.137,0.712,103.982,4
spotify:track:2MikXpemnNsCebcU3MJ788,"Man Made A Bar","One Thing At A Time","Morgan Wallen;Eric Church",2023-03-03,191231,77,false,bennettspeir,2026-07-25T01:13:21Z,"country,acoustic country","Morgan Wallen",0.501,0.769,4,-5.005,1,0.0298,0.125,0.000184,0.12,0.454,148.006,4
spotify:track:1lBBFLNJuTGw1NTk3ylpVW,"’98 Braves","One Thing At A Time","Morgan Wallen",2023-03-03,178704,59,false,bennettspeir,2026-07-25T01:13:21Z,"country","Morgan Wallen",0.494,0.689,2,-5.724,1,0.0265,0.0687,0.0000768,0.265,0.473,142.092,4
spotify:track:1rFH4TZS38gkcLcW02bEm7,"Ain’t That Some","One Thing At A Time","Morgan Wallen",2023-03-03,158003,78,true,bennettspeir,2026-07-25T01:13:21Z,"country","Morgan Wallen",0.64,0.811,6,-5.834,0,0.0279,0.00154,0.00000934,0.363,0.686,121.089,4
spotify:track:7bDnRNTv04GJwjPaDU4K23,"Whiskey Friends","One Thing At A Time","Morgan Wallen",2023-03-03,205579,66,false,bennettspeir,2026-07-25T01:13:21Z,"country","Morgan Wallen",0.547,0.826,1,-3.916,1,0.0288,0.0669,0.0000085,0.131,0.579,141.981,4
spotify:track:4mtmmBBEgdJLYWnLy5zvWE,"Cowgirls","One Thing At A Time","Morgan Wallen;ERNEST",2023-03-03,181621,85,false,bennettspeir,2026-07-25T01:13:21Z,"country","Morgan Wallen",0.621,0.779,8,-3.777,1,0.0361,0.216,0.00000862,0.165,0.399,172.037,4
spotify:track:5gB2IrxOCX2j9bMnHKP38i,"Life is a Highway","Cars (Original Motion Picture Soundtrack)","Rascal Flatts",2006-01-01,275640,79,false,bennettspeir,2026-07-25T01:13:21Z,"country","Walt Disney Records",0.562,0.934,5,-5.562,1,0.0607,0.00211,0,0.199,0.558,103.042,4
spotify:track:2Dct3GykKZ58hpWRFfe2Qd,"Heading South","Heading South","Zach Bryan",2019-09-30,171692,82,true,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.68,0.246,4,-14.112,1,0.058,0.783,0,0.106,0.388,110.23,4
spotify:track:4KULAymBBJcPRpk1yO4dOG,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan","Zach Bryan;Kacey Musgraves",2023-08-25,227195,88,false,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.429,0.453,0,-7.746,1,0.0459,0.554,0.000002,0.102,0.155,77.639,4
spotify:track:4ZJ4vzLQekI0WntDbanNC7,"Pink Skies","Pink Skies","Zach Bryan",2024-05-24,194920,87,false,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.525,0.488,0,-6.909,1,0.038,0.191,0.0000514,0.135,0.253,84.999,4
spotify:track:2jCJjRc9mz6VYBMhLy3H9i,"Plastic Cigarette","With Heaven On Top","Zach Bryan",2026-01-09,185788,82,false,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.603,0.462,0,-8.802,1,0.0609,0.594,0.00735,0.105,0.478,77.473,3
spotify:track:6dANcQ00uiiWoBDYVrsGvz,"28","The Great American Bar Scene","Zach Bryan",2024-07-04,233333,80,false,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.492,0.519,7,-6.886,1,0.0288,0.227,0.0000847,0.0693,0.435,80.868,3
spotify:track:3xOi0YhDREKRURFHoNaAOQ,"Nine Ball","Boys Of Faith","Zach Bryan",2023-09-22,169940,84,false,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.597,0.658,7,-4.38,1,0.044,0.11,0,0.131,0.38,134.545,4
spotify:track:5jfhLCSIFUO4ndzNRh4w4G,"Burn, Burn, Burn","Burn, Burn, Burn","Zach Bryan",2022-09-08,268856,82,false,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.508,0.296,3,-10.513,1,0.0755,0.897,0.00005,0.11,0.134,82.532,4
spotify:track:2QfX9Pdz3q66fN3kCXl0Js,"Revival","Elisabeth","Zach Bryan",2020-05-08,221250,81,false,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.464,0.366,7,-9.025,1,0.047,0.772,0.0000158,0.0949,0.328,78.846,4
spotify:track:4pCbJC43j3gSqG6Fen6upD,"Hey Driver (feat. The War and Treaty)","Zach Bryan","Zach Bryan;The War And Treaty",2023-08-25,227466,78,false,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.583,0.351,0,-5.836,1,0.0306,0.494,0,0.368,0.462,79.014,4
spotify:track:42TtHTxWk782ZBiqyOi2d1,"Dawns (feat. Maggie Rogers)","Dawns (feat. Maggie Rogers)","Zach Bryan;Maggie Rogers",2023-01-27,290892,79,true,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.447,0.441,0,-7.658,1,0.0456,0.874,0.0000436,0.188,0.286,122.811,4
spotify:track:00syWkRGIVQvYsg2OwfBUw,"East Side of Sorrow","Zach Bryan","Zach Bryan",2023-08-25,209320,77,true,bennettspeir,2026-07-25T01:13:21Z,"country,red dirt","Warner Records",0.408,0.607,10,-7.463,1,0.0391,0.236,0.0000802,0.0972,0.169,144.136,4
